汤姆的混乱空间,11643866,游戏原画师，粉黑二象性理论奠鸡人，教学万花筒，周末9点不定期直播。,"00:46铁山靠
01:14猫转身
01:38乌鸦坐飞鸡
01:46飞鹤捕虾
02:19龙虾爪
03:04黑虎掏心
03:22怒鸦起飞
03:33捂裆派绝学
04:14公鸡踢腿"
汤姆的混乱空间,11643866,游戏原画师，粉黑二象性理论奠鸡人，教学万花筒，周末9点不定期直播。,汤姆大秀鸡塘说唱请求出道！BV1tB4y1S7Ep
42寸吉他,32312087,时不待我，只争朝夕,6分45的时候，汤姆的左手应该压在腹部，同时右手的剪刀手食指与大地的角度再小一点，这样就完美多了，我才是艾鲲的真实粉丝
我一个后仰起飞,114345536,,看了之后觉得鸡哥还是挺猛的啊，现在看力量感十足，跳的好看啊
地方略略略,665455242,,百年难遇周杰伦，万年难出蔡徐坤”，蔡徐坤已继承了华语乐坛未来的希望，是现在人的，甚至将来人的青春，最后告诫黑粉一句话，不爱请别伤害，如果你打倒了坤坤，那将是华语乐坛和内娱最大的损失！！
刘钥千净又卫生,27310990,,我虽然是黑粉 但我们付出的时间和感情 也不比真爱粉少 没人是十全十美的  每个人都有优点和缺点 我们只是喜欢他的缺点而已 我们黑粉有什么错
薇不足惜,400721386,星辰大海才是我的归宿。,@悠悠球琛总
四谷阿岩,5107209,画画是为了d老师 /  普通的宇宙第一毛吹,你们搞艺术的什么都要学的嘛
新名字要花六个硬币的,1885510434,,第一次看的时候只有几万赞，现在已经31万了，有种把鸡养大的感觉
迦勒底的色茄子,35654447,悄悄地进村，打枪的不要！乌拉！,蔡徐坤先生在蔡徐坤模仿大赛是荣获第二名[doge]
Last火玄礻申,282463985,,两年前up主在学校录了教学，结果删了，现在又发了，请各位三连三连支持！！！
轻绘梨花泪沾衣ご,454310519,,朋友班里有个ikun(小女生)，班里有三四个男生自从知道后，有时间就在她面前跳[doge]
红星照耀下的云,1990040,英特纳雄耐尔一定要实现！,老师老师，我指出一点问题嗷，后半段坤坤手一直在拉扯裤裆的拉链，下次跳的时候建议把拉链打开好让自己用手拉住避免忘记[OK]
